id_dep;nome;deputado;partido;UF;tema_1;tema_2;tema_3;tema_4;tema_5;tema_6;tema_7;tema_8;tema_9;tema_10;tema_11;tema_12;tema_13;tema_14;tema_15;tema_16;tema_17;tema_18;tema_19;IMPEACHMENT
178864;AdailCarneiro;Adail Carneiro;phs;CE;sim;sim;sim;sim;não;não;sim;sim;sim;sim;sim;sim;não;sim;não;sim;não;sim;não;SIM
178914;AdalbertoCavalcanti;Adalberto Cavalcanti;ptb;PE;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;não votou;sim;sim;não votou;não votou;sim;sim;sim;sim;NAO
178890;AdelmoCarneiroLeao;Adelmo Carneiro Leão;pt;MG;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;não votou;não votou;NAO
178968;AdelsonBarreto;Adelson Barreto;ptb;SE;sim;não votou;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;não;sim;sim;sim;sim;SIM
178903;AdiltonSachetti;Adilton Sachetti;psb;MT;sim;não;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;não;sim;não;sim;sim;sim;sim;SIM
141372;AeltonFreitas;Aelton Freitas;pr;MG;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;sim;sim;não;sim;sim;NAO
160508;AfonsoFlorence;Afonso Florence;pt;BA;não;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
136811;AfonsoHamm;Afonso Hamm;pp;RS;sim;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;não;não;não;sim;não;sim;sim;SIM
178835;AfonsoMotta;Afonso Motta;pdt;RS;sim;não;sim;sim;não;não;não;não;sim;não;sim;sim;sim;não;não;sim;não;sim;sim;NAO
160527;AguinaldoRibeiro;Aguinaldo Ribeiro;pp;PB;sim;sim;sim;não;não votou;não votou;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;não;sim;sim;SIM
178836;AlanRick;Alan Rick;prb;AC;não;sim;sim;sim;sim;sim;sim;não;sim;não;sim;sim;sim;sim;não;sim;não;sim;sim;SIM
160582;AlbertoFilho;Alberto Filho;pmdb;MA;sim;sim;sim;sim;sim;sim;sim;sim;não votou;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;SIM
73579;AlbertoFraga;Alberto Fraga;dem;DF;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;sim;não;não;não;não;sim;sim;SIM
160559;AlceuMoreira;Alceu Moreira;pmdb;RS;sim;não;sim;sim;sim;sim;sim;sim;sim;não;sim;sim;sim;sim;não;sim;não;sim;sim;SIM
160511;AlessandroMolon;Alessandro Molon;pt;RJ;não votou;sim;sim;não;não;não;não;não;não;não;não;sim;sim;sim;sim;sim;não;sim;não;NAO
160511;AlessandroMolon;Alessandro Molon;rede;RJ;não;não votou;não votou;não votou;não votou;6 não votou;7 não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;não votou;NAO
