deputado,partido,estado,voto
Pedro Vilela,PSDB,AL,SIM
Maurício Quintella Lessa,PR,AL,SIM
Marx Beltrão,PMDB,AL,SIM
JHC,PSB,AL,SIM
Cícero Almeida,PMDB,AL,SIM
Arthur Lira,PP,AL,SIM
Valadares Filho,PSB,SE,SIM
Laercio Oliveira,SD,SE,SIM
Jony Marcos,PRB,SE,SIM
Fabio Reis,PMDB,SE,SIM
Andre Moura,PSC,SE,SIM
Adelson Barreto,PR,SE,SIM
Tadeu Alencar,PSB,PE,SIM
Pastor Eurico,PHS,PE,SIM
Mendonça Filho,DEM,PE,SIM
Marinaldo Rosendo,PSB,PE,SIM
Kaio Maniçoba,PMDB,PE,SIM
Jorge Côrte Real,PTB,PE,SIM
João Fernando Coutinho,PSB,PE,SIM
Jarbas Vasconcelos,PMDB,PE,SIM
Gonzaga Patriota,PSB,PE,SIM
Fernando Coelho Filho,PSB,PE,SIM
Eduardo da Fonte,PP,PE,SIM
Danilo Cabral,PSB,PE,SIM
Daniel Coelho,PSDB,PE,SIM
Bruno Araújo,PSDB,PE,SIM
Betinho Gomes,PSDB,PE,SIM
Augusto Coutinho,SD,PE,SIM
André de Paula,PSD,PE,SIM
Anderson Ferreira,PR,PE,SIM
Wilson Filho,PTB,PB,SIM
Veneziano Vital do Rêgo,PMDB,PB,SIM
Rômulo Gouveia,PSD,PB,SIM
Pedro Cunha Lima,PSDB,PB,SIM
Manoel Junior,PMDB,PB,SIM
Hugo Motta,PMDB,PB,SIM
Efraim Filho,DEM,PB,SIM
Benjamin Maranhão,SD,PB,SIM
Aguinaldo Ribeiro,PP,PB,SIM
Uldurico Junior,PV,BA,SIM
Tia Eron,PRB,BA,SIM
Paulo Azi,DEM,BA,SIM
Márcio Marinho,PRB,BA,SIM
Lucio Vieira Lima,PMDB,BA,SIM
Jutahy Junior,PSDB,BA,SIM
José Carlos Aleluia,DEM,BA,SIM
João Gualberto,PSDB,BA,SIM
Irmão Lazaro,PSC,BA,SIM
Erivelton Santana,PEN,BA,SIM
Elmar Nascimento,DEM,BA,SIM
Claudio Cajado,DEM,BA,SIM
Benito Gama,PTB,BA,SIM
Arthur Oliveira Maia,PPS,BA,SIM
Antonio Imbassahy,PSDB,BA,SIM
Zé Silva,SD,MG,SIM
Weliton Prado,PMB,MG,SIM
Toninho Pinheiro,PP,MG,SIM
Tenente Lúcio,PSB,MG,SIM
Subtenente Gonzaga,PDT,MG,SIM
Stefano Aguiar,PSD,MG,SIM
Saraiva Felipe,PMDB,MG,SIM
Rodrigo Pacheco,PMDB,MG,SIM
Rodrigo de Castro,PSDB,MG,SIM
Renzo Braz,PP,MG,SIM
Raquel Muniz,PSD,MG,SIM
Paulo Abi-ackel,PSDB,MG,SIM
Odelmo Leão,PP,MG,SIM
Newton Cardoso Jr,PMDB,MG,SIM
Misael Varella,DEM,MG,SIM
Mauro Lopes,PMDB,MG,SIM
Mário Heringer,PDT,MG,SIM
Marcus Pestana,PSDB,MG,SIM
Marcos Montes,PSD,MG,SIM
Marcelo Aro,PHS,MG,SIM
Marcelo Álvaro Antônio,PR,MG,SIM
Luiz Fernando Faria,PP,MG,SIM
Luis Tibé,PTdoB,MG,SIM
Lincoln Portela,PRB,MG,SIM
Leonardo Quintão,PMDB,MG,SIM
Laudivio Carvalho,SD,MG,SIM
Júlio Delgado,PSB,MG,SIM
Jaime Martins,PSD,MG,SIM
Franklin Lima,PP,MG,SIM
Fábio Ramalho,PMDB,MG,SIM
Eros Biondini,PROS,MG,SIM
Eduardo Barbosa,PSDB,MG,SIM
Domingos Sávio,PSDB,MG,SIM
Dimas Fabiano,PP,MG,SIM
Diego Andrade,PSD,MG,SIM
Delegado Edson Moreira,PR,MG,SIM
Dâmina Pereira,PSL,MG,SIM
Carlos Melles,DEM,MG,SIM
Caio Narcio,PSDB,MG,SIM
Bonifácio de Andrada,PSDB,MG,SIM
Bilac Pinto,PR,MG,SIM
Walter Alves,PMDB,RN,SIM
Rogério Marinho,PSDB,RN,SIM
Rafael Motta,PSB,RN,SIM
Felipe Maia,DEM,RN,SIM
Fábio Faria,PSD,RN,SIM
Beto Rosado,PP,RN,SIM
Antônio Jácome,PTN,RN,SIM
Rodrigo Martins,PSB,PI,SIM
Júlio Cesar,PSD,PI,SIM
Iracema Portella,PP,PI,SIM
Heráclito Fortes,PSB,PI,SIM
Átila Lira,PSB,PI,SIM
Sergio Vidigal,PDT,ES,SIM
Paulo Foletto,PSB,ES,SIM
Max Filho,PSDB,ES,SIM
Marcus Vicente,PP,ES,SIM
Lelo Coimbra,PMDB,ES,SIM
Evair de Melo,PV,ES,SIM
Dr. Jorge Silva,PHS,ES,SIM
Carlos Manato,SD,ES,SIM
Sóstenes Cavalcante,DEM,RJ,SIM
Soraya Santos,PMDB,RJ,SIM
,SIMão Ses,SIM,PP
RJ,SIM,,
Sergio Zveiter,PMDB,RJ,SIM
Rosangela Gomes,PRB,RJ,SIM
Rodrigo Maia,DEM,RJ,SIM
Roberto Sales,PRB,RJ,SIM
Pedro Paulo,PMDB,RJ,SIM
Paulo Feijó,PR,RJ,SIM
Otavio Leite,PSDB,RJ,SIM
Miro Teixeira,REDE,RJ,SIM
Marcos Soares,DEM,RJ,SIM
Marco Antônio Cabral,PMDB,RJ,SIM
Marcelo Matos,PHS,RJ,SIM
Luiz Carlos Ramos,PTN,RJ,SIM
Julio Lopes,PP,RJ,SIM
Jair Bolsonaro,PSC,RJ,SIM
Indio da Costa,PSD,RJ,SIM
Hugo Leal,PSB,RJ,SIM
Francisco Floriano,DEM,RJ,SIM
Fernando Jordão,PMDB,RJ,SIM
Felipe Bornier,PROS,RJ,SIM
Ezequiel Teixeira,PTN,RJ,SIM
Eduardo Cunha,PMDB,RJ,SIM
Dr. João,PR,RJ,SIM
Deley,PTB,RJ,SIM
Cristiane Brasil,PTB,RJ,SIM
Cabo Daciolo,PTdoB,RJ,SIM
Aureo,SD,RJ,SIM
Arolde de Oliveira,PSC,RJ,SIM
Altineu Côrtes,PMDB,RJ,SIM
Alexandre Valle,PR,RJ,SIM
Alexandre Serfiotis,PMDB,RJ,SIM
Vitor Valim,PMDB,CE,SIM
Ronaldo Martins,PRB,CE,SIM
Raimundo Gomes de Matos,PSDB,CE,SIM
Moses Rodrigues,PMDB,CE,SIM
Moroni Torgan,DEM,CE,SIM
Genecias Noronha,SD,CE,SIM
Danilo Forte,PSB,CE,SIM
Cabo Sabino,PR,CE,SIM
Adail Carneiro,PP,CE,SIM
Victor Mendes,PSD,MA,SIM
